"postXtreated","postXadopted","postXadoptedXfee_2.75","postXtreatedXfee_2.75","organization_uuid","timestamp_month","log_valid_volume","log_valid_volume_w5","log_nr_payments","log_nr_payments_w5","make_sale","treated","adopted","fee_2.75","treatedXfee_2.75","adoptedXfee_2.75","start_date"
0,0,0,0,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-05-01,11.1773730052245,11.0666539872197,2.484906649788,2.484906649788,1,1,1,1,1,1,2020-05-01
0,0,0,0,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-06-01,8.64523454129712,8.64523454129712,2.89037175789616,2.89037175789616,1,1,1,1,1,1,2020-05-01
0,0,0,0,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-07-01,10.5588549812592,10.5588549812592,3.13549421592915,3.13549421592915,1,1,1,1,1,1,2020-05-01
0,0,0,0,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-08-01,8.51458980554612,8.51458980554612,3.04452243772342,3.04452243772342,1,1,1,1,1,1,2020-05-01
0,0,0,0,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-09-01,8.66181288102618,8.66181288102618,3.04452243772342,3.04452243772342,1,1,1,1,1,1,2020-05-01
1,1,1,1,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-10-01,8.9182485910357,8.9182485910357,3.17805383034795,3.17805383034795,1,1,1,1,1,1,2020-05-01
1,1,1,1,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-11-01,8.79224584746788,8.79224584746788,2.99573227355399,2.99573227355399,1,1,1,1,1,1,2020-05-01
1,1,1,1,"003a93f0-8fca-11ea-b418-79a1b6633e37",2020-12-01,8.54688790675128,8.54688790675128,2.30258509299405,2.30258509299405,1,1,1,1,1,1,2020-05-01
1,1,1,1,"003a93f0-8fca-11ea-b418-79a1b6633e37",2021-01-01,0,0,0,0,0,1,1,1,1,1,2020-05-01
1,1,1,1,"003a93f0-8fca-11ea-b418-79a1b6633e37",2021-02-01,0,0,0,0,0,1,1,1,1,1,2020-05-01
1,1,1,1,"003a93f0-8fca-11ea-b418-79a1b6633e37",2021-03-01,0,0,0,0,0,1,1,1,1,1,2020-05-01
0,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-05-01,0,0,0,0,0,1,0,0,0,0,2020-05-01
0,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-06-01,9.32282048306018,9.32282048306018,0.693147180559945,0.693147180559945,1,1,0,0,0,0,2020-05-01
0,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-07-01,10.3933293476622,10.3933293476622,1.38629436111989,1.38629436111989,1,1,0,0,0,0,2020-05-01
0,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-08-01,10.5147001745006,10.5147001745006,1.09861228866811,1.09861228866811,1,1,0,0,0,0,2020-05-01
0,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-09-01,0,0,0,0,0,1,0,0,0,0,2020-05-01
1,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-10-01,10.4913294936883,10.4913294936883,2.07944154167984,2.07944154167984,1,1,0,0,0,0,2020-05-01
1,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-11-01,8.86587910788827,8.86587910788827,0.693147180559945,0.693147180559945,1,1,0,0,0,0,2020-05-01
1,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2020-12-01,9.80896696092499,9.80896696092499,1.09861228866811,1.09861228866811,1,1,0,0,0,0,2020-05-01
1,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2021-01-01,10.5146912200361,10.5146912200361,1.6094379124341,1.6094379124341,1,1,0,0,0,0,2020-05-01
1,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2021-02-01,9.39839794632199,9.39839794632199,0.693147180559945,0.693147180559945,1,1,0,0,0,0,2020-05-01
1,0,0,0,"00485c26-93c4-11ea-9648-e30c0576ab75",2021-03-01,7.12689080889881,7.12689080889881,0.693147180559945,0.693147180559945,1,1,0,0,0,0,2020-05-01
0,0,0,0,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-06-01,6.80583328925675,6.80583328925675,2.484906649788,2.484906649788,1,1,1,1,1,1,2020-06-01
0,0,0,0,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-07-01,7.57763383260273,7.57763383260273,2.70805020110221,2.70805020110221,1,1,1,1,1,1,2020-06-01
0,0,0,0,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-08-01,7.41697962138115,7.41697962138115,2.70805020110221,2.70805020110221,1,1,1,1,1,1,2020-06-01
0,0,0,0,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-09-01,6.27852142416584,6.27852142416584,1.79175946922805,1.79175946922805,1,1,1,1,1,1,2020-06-01
1,1,1,1,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-10-01,6.16961073249146,6.16961073249146,1.6094379124341,1.6094379124341,1,1,1,1,1,1,2020-06-01
1,1,1,1,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-11-01,6.45519856334012,6.45519856334012,2.07944154167984,2.07944154167984,1,1,1,1,1,1,2020-06-01
1,1,1,1,"005fa432-ac1d-11ea-9968-d23e78e06206",2020-12-01,5.85507192220243,5.85507192220243,1.38629436111989,1.38629436111989,1,1,1,1,1,1,2020-06-01
1,1,1,1,"005fa432-ac1d-11ea-9968-d23e78e06206",2021-01-01,7.14795258486217,7.14795258486217,2.30258509299405,2.30258509299405,1,1,1,1,1,1,2020-06-01
1,1,1,1,"005fa432-ac1d-11ea-9968-d23e78e06206",2021-02-01,6.69703424766648,6.69703424766648,1.79175946922805,1.79175946922805,1,1,1,1,1,1,2020-06-01
1,1,1,1,"005fa432-ac1d-11ea-9968-d23e78e06206",2021-03-01,7.69074316354187,7.69074316354187,2.39789527279837,2.39789527279837,1,1,1,1,1,1,2020-06-01
0,0,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-06-01,5.56452040732269,5.56452040732269,1.09861228866811,1.09861228866811,1,1,1,0,0,0,2020-06-01
0,0,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-07-01,7.56371966841437,7.56371966841437,1.38629436111989,1.38629436111989,1,1,1,0,0,0,2020-06-01
0,0,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-08-01,7.62705741701893,7.62705741701893,1.6094379124341,1.6094379124341,1,1,1,0,0,0,2020-06-01
0,0,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-09-01,8.01829613851552,8.01829613851552,1.6094379124341,1.6094379124341,1,1,1,0,0,0,2020-06-01
1,1,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-10-01,0,0,0,0,0,1,1,0,0,0,2020-06-01
1,1,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-11-01,0,0,0,0,0,1,1,0,0,0,2020-06-01
1,1,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2020-12-01,0,0,0,0,0,1,1,0,0,0,2020-06-01
1,1,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2021-01-01,0,0,0,0,0,1,1,0,0,0,2020-06-01
1,1,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2021-02-01,0,0,0,0,0,1,1,0,0,0,2020-06-01
1,1,0,0,"0061cf50-acf4-11ea-8521-e5cba972be5d",2021-03-01,0,0,0,0,0,1,1,0,0,0,2020-06-01
0,0,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-06-01,3.46573590279973,3.46573590279973,1.38629436111989,1.38629436111989,1,1,1,0,0,0,2020-06-01
0,0,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-07-01,8.36985260351753,8.36985260351753,0.693147180559945,0.693147180559945,1,1,1,0,0,0,2020-06-01
0,0,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-08-01,9.34775172779914,9.34775172779914,1.38629436111989,1.38629436111989,1,1,1,0,0,0,2020-06-01
0,0,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-09-01,9.12238309321704,9.12238309321704,1.38629436111989,1.38629436111989,1,1,1,0,0,0,2020-06-01
1,1,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-10-01,8.97626225560919,8.97626225560919,2.39789527279837,2.39789527279837,1,1,1,0,0,0,2020-06-01
1,1,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-11-01,9.39905809627538,9.39905809627538,2.30258509299405,2.30258509299405,1,1,1,0,0,0,2020-06-01
1,1,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2020-12-01,9.55194228641739,9.55194228641739,1.09861228866811,1.09861228866811,1,1,1,0,0,0,2020-06-01
1,1,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2021-01-01,8.04846874366888,8.04846874366888,0.693147180559945,0.693147180559945,1,1,1,0,0,0,2020-06-01
1,1,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2021-02-01,10.0269875485217,10.0269875485217,1.09861228866811,1.09861228866811,1,1,1,0,0,0,2020-06-01
1,1,0,0,"008397ec-af43-11ea-876c-19d2e9e8103c",2021-03-01,9.52806656577634,9.52806656577634,1.6094379124341,1.6094379124341,1,1,1,0,0,0,2020-06-01
0,0,0,0,"008c1dde-7444-11ea-b495-a1c98471def7",2020-04-01,4.95582705760126,4.95582705760126,1.38629436111989,1.38629436111989,1,1,0,1,1,0,2020-04-01
0,0,0,0,"008c1dde-7444-11ea-b495-a1c98471def7",2020-05-01,6.82654522355659,6.82654522355659,2.07944154167984,2.07944154167984,1,1,0,1,1,0,2020-04-01
0,0,0,0,"008c1dde-7444-11ea-b495-a1c98471def7",2020-06-01,7.27931883541462,7.27931883541462,2.77258872223978,2.77258872223978,1,1,0,1,1,0,2020-04-01
0,0,0,0,"008c1dde-7444-11ea-b495-a1c98471def7",2020-07-01,7.29848569608336,7.29848569608336,2.70805020110221,2.70805020110221,1,1,0,1,1,0,2020-04-01
0,0,0,0,"008c1dde-7444-11ea-b495-a1c98471def7",2020-08-01,7.70885960104718,7.70885960104718,3.13549421592915,3.13549421592915,1,1,0,1,1,0,2020-04-01
0,0,0,0,"008c1dde-7444-11ea-b495-a1c98471def7",2020-09-01,6.57228254269401,6.57228254269401,2.19722457733622,2.19722457733622,1,1,0,1,1,0,2020-04-01
1,0,0,1,"008c1dde-7444-11ea-b495-a1c98471def7",2020-10-01,7.04053639021596,7.04053639021596,2.63905732961526,2.63905732961526,1,1,0,1,1,0,2020-04-01
1,0,0,1,"008c1dde-7444-11ea-b495-a1c98471def7",2020-11-01,6.36302810354046,6.36302810354046,2.484906649788,2.484906649788,1,1,0,1,1,0,2020-04-01
1,0,0,1,"008c1dde-7444-11ea-b495-a1c98471def7",2020-12-01,7.2086003379602,7.2086003379602,2.70805020110221,2.70805020110221,1,1,0,1,1,0,2020-04-01
1,0,0,1,"008c1dde-7444-11ea-b495-a1c98471def7",2021-01-01,6.8134445995109,6.8134445995109,2.56494935746154,2.56494935746154,1,1,0,1,1,0,2020-04-01
1,0,0,1,"008c1dde-7444-11ea-b495-a1c98471def7",2021-02-01,7.28892769452126,7.28892769452126,3.04452243772342,3.04452243772342,1,1,0,1,1,0,2020-04-01
1,0,0,1,"008c1dde-7444-11ea-b495-a1c98471def7",2021-03-01,0,0,0,0,0,1,0,1,1,0,2020-04-01
0,0,0,0,"00a53bd0-bb42-11ea-bb4f-07f648f81691",2020-07-01,10.5605193534001,10.5605193534001,4.12713438504509,4.12713438504509,1,1,0,1,1,0,2020-07-01
0,0,0,0,"00a53bd0-bb42-11ea-bb4f-07f648f81691",2020-08-01,11.6826779441516,11.1162627915106,4.18965474202643,4.18965474202643,1,1,0,1,1,0,2020-07-01
0,0,0,0,"00a53bd0-bb42-11ea-bb4f-07f648f81691",2020-09-01,9.09969368688911,9.09969368688911,3.09104245335832,3.09104245335832,1,1,0,1,1,0,2020-07-01
1,0,0,1,"00a53bd0-bb42-11ea-bb4f-07f648f81691",2020-10-01,0,0,0,0,0,1,0,1,1,0,2020-07-01
1,0,0,1,"00a53bd0-bb42-11ea-bb4f-07f648f81691",2020-11-01,0,0,0,0,0,1,0,1,1,0,2020-07-01
